time,frequency,confidence
7.860,1769.157,0.725778
7.870,1770.696,0.794060
7.880,1773.368,0.820367
7.890,1781.915,0.800736
7.900,1789.166,0.814969
7.910,1797.664,0.785462
7.920,1798.689,0.784891
7.930,1797.799,0.741623
7.940,1794.746,0.723065
7.950,1789.814,0.743284
7.960,1784.813,0.742388
7.970,1776.505,0.761533
7.980,1767.863,0.841587
7.990,1759.428,0.839315
8.000,1762.843,0.866855
8.010,1761.375,0.847647
8.020,1761.062,0.814210
8.030,1766.168,0.676290
8.040,1769.901,0.514195
8.050,1771.296,0.719488
8.060,1772.374,0.770911
8.070,1775.204,0.755423
8.080,1774.988,0.780596
8.090,1775.749,0.684928
8.100,1779.497,0.569211
8.110,1775.378,0.621803
8.120,1772.757,0.503456
8.130,1772.301,0.524454
8.140,1770.049,0.699006
8.150,1767.283,0.723688
8.160,1765.485,0.808154
8.170,1759.739,0.822869
8.180,1756.051,0.828103
8.190,1756.668,0.873279
8.200,1759.562,0.760552
8.210,1761.570,0.788191
8.220,1759.861,0.854025
8.230,1761.442,0.818220
8.240,1772.747,0.551573
8.250,1783.166,0.552556
8.260,1788.337,0.618642
8.270,1795.112,0.555583
8.280,1795.167,0.673367
8.290,1800.308,0.722806
8.300,1801.619,0.626936
8.310,1799.871,0.673718
8.320,1794.816,0.594796
8.330,1788.584,0.562243
8.340,1783.763,0.673659
8.350,1773.011,0.808745
8.360,1766.273,0.868087
8.370,1757.810,0.880727
8.380,1758.648,0.897523
8.390,1755.552,0.838935
8.400,1753.821,0.806805
8.410,1753.149,0.715503
8.420,1763.675,0.441253
8.430,1767.216,0.444703
8.440,1768.305,0.404423
8.450,1767.735,0.591916
8.460,1768.001,0.624441
8.470,1767.559,0.753559
8.480,1772.859,0.744559
8.490,1774.576,0.659836
8.500,1774.189,0.485974
8.510,1774.949,0.539937
8.520,1772.196,0.536555
8.530,1773.740,0.714766
8.540,1771.957,0.737000
8.550,1774.982,0.476744
8.560,1913.060,0.333735
8.570,1917.908,0.474068
8.580,1910.490,0.516657
8.590,1902.263,0.398951
8.600,1893.849,0.580245
8.610,1890.228,0.718175
8.620,1893.850,0.607265
8.630,1894.315,0.466831
8.640,1886.199,0.436192
8.650,1870.561,0.311620
8.660,1763.314,0.220574
8.670,1768.900,0.283902
8.680,1768.934,0.377726
8.690,1766.792,0.645571
8.700,1764.705,0.793000
8.710,1765.117,0.840102
8.720,1762.265,0.882046
8.730,1763.453,0.844755
8.740,1763.908,0.839229
8.750,1762.344,0.802279
8.760,1762.686,0.693851
8.770,1764.774,0.817117
8.780,1766.617,0.823401
8.790,1773.624,0.790186
8.800,1779.363,0.762669
8.810,1781.900,0.728224
8.820,1791.948,0.594831
8.830,1800.414,0.317768
8.840,151.224,0.371184
8.850,150.168,0.285627
8.860,149.792,0.380564
8.870,150.243,0.364928
8.880,1798.498,0.401273
8.890,1798.353,0.551065
8.900,1799.898,0.434047
8.910,1800.516,0.538975
8.920,1798.030,0.455521
8.930,1799.915,0.367601
8.940,1795.373,0.363499
8.950,1794.766,0.443686
8.960,1787.870,0.555591
8.970,1781.451,0.575764
8.980,1770.139,0.741860
8.990,1764.219,0.804465
9.000,1765.024,0.800223
9.010,1765.115,0.796787
9.020,1770.977,0.782147
9.030,1775.040,0.742783
9.040,1780.354,0.757787
9.050,1778.213,0.708910
9.060,1781.176,0.732999
9.070,1778.897,0.758797
9.080,1773.591,0.779984
9.090,1772.941,0.786489
9.100,1778.209,0.790508
9.110,1777.341,0.789828
9.120,1781.553,0.808087
9.130,1777.750,0.805968
9.140,1773.651,0.859726
9.150,1770.069,0.898794
9.160,1773.614,0.829139
9.170,1771.896,0.746856
9.180,1771.726,0.754930
9.190,1767.544,0.814002
9.200,1769.834,0.809477
9.210,1769.167,0.690178
9.220,1770.118,0.636966
9.230,1772.417,0.650887
9.240,1773.270,0.691745
9.250,1777.029,0.738666
9.260,1782.973,0.808169
9.270,1785.316,0.774145
9.280,1793.194,0.671798
9.290,1801.462,0.621997
9.300,1805.350,0.479322
9.310,1798.463,0.509818
9.320,1798.586,0.549337
9.330,1799.262,0.475739
9.340,1801.773,0.628611
9.350,1793.225,0.680106
9.360,1795.421,0.638319
9.370,1792.690,0.668491
9.380,1786.087,0.658145
9.390,1775.292,0.681751
9.400,1766.222,0.802311
9.410,1760.332,0.846179
9.420,1756.077,0.838979
9.430,1759.549,0.831264
9.440,1761.218,0.868549
9.450,1764.472,0.786059
9.460,1770.753,0.622912
9.470,1773.088,0.758200
9.480,1772.467,0.771052
9.490,1776.568,0.746430
9.500,1782.001,0.731237
9.510,1788.425,0.656154
9.520,1791.780,0.324912
9.530,1791.209,0.477549
9.540,1788.936,0.473059
9.550,1789.315,0.373875
9.560,1783.690,0.438894
9.570,1775.142,0.522594
9.580,1769.871,0.464433
9.590,1770.782,0.521917
9.600,1768.923,0.595549
9.610,1763.600,0.759439
9.620,1758.686,0.793583
9.630,1758.439,0.778242
9.640,1758.631,0.666859
9.650,1760.782,0.722725
9.660,1768.481,0.618850
9.670,1772.051,0.440814
9.680,1779.524,0.320325
9.690,149.788,0.322000
9.700,150.087,0.373981
9.710,150.142,0.384412
9.720,150.783,0.377432
9.730,150.165,0.377076
9.740,150.063,0.358845
9.750,1786.253,0.388687
9.760,1782.456,0.452231
9.770,1778.969,0.383349
9.780,1776.439,0.494247
9.790,1770.309,0.547045
9.800,1766.078,0.688090
9.810,1764.172,0.589587
9.820,1763.133,0.524946
9.830,1765.761,0.482124
9.840,1769.523,0.412503
9.850,1770.846,0.504404
9.860,1776.608,0.364838
9.870,1776.552,0.471896
9.880,1780.895,0.411909
9.890,1783.949,0.295150
9.900,1788.000,0.362176
9.910,150.822,0.427974
9.920,151.142,0.572161
9.930,151.122,0.473443
9.940,151.438,0.456406
9.950,1800.349,0.427365
9.960,1798.717,0.520980
9.970,1787.658,0.593106
9.980,1782.949,0.486545
9.990,1774.217,0.627877
10.000,1764.001,0.834575
10.010,1756.816,0.820489
10.020,1757.058,0.789609
10.030,1754.344,0.635496
10.040,1745.320,0.695707
10.050,1745.212,0.524940
10.060,146.659,0.347882
10.070,147.042,0.421983
10.080,147.649,0.390190
10.090,1764.201,0.378498
10.100,148.655,0.317142
10.110,1771.541,0.543226
10.120,1778.755,0.482613
10.130,1783.222,0.357701
10.140,149.650,0.349716
10.150,149.838,0.470670
10.160,149.426,0.412325
10.170,149.027,0.344780
10.180,148.151,0.467020
10.190,1776.106,0.441163
10.200,1772.787,0.529877
10.210,1771.140,0.635290
10.220,1768.321,0.702991
10.230,1765.890,0.693529
10.240,1766.262,0.445269
10.250,1765.903,0.571475
10.260,1761.902,0.691267
10.270,1762.121,0.547969
10.280,147.920,0.554764
10.290,147.761,0.493865
10.300,147.697,0.504599
10.310,148.126,0.660819
10.320,148.438,0.637817
10.330,149.001,0.555905
10.340,149.275,0.487110
10.350,149.568,0.471820
10.360,1800.988,0.543233
